project_id,project_name,action_description,action_status,action_gyr,risk_description,milestone_description,gyr_constraint,gyr_status,previous_gyr_status,gyr_comments,project_created_at
1,"RFP for Xray Co.",NULL,NULL,NULL,"There is a risk that the budget will not be enough to cover the new type of testing that's required","Plan Complete",overall,green,yellow,NULL,"2021-11-23 10:04:23"
1,"RFP for Xray Co.",NULL,NULL,NULL,"There is a risk that the budget will not be enough to cover the new type of testing that's required","Plan Complete",resources,green,NULL,NULL,"2021-11-23 10:04:23"
1,"RFP for Xray Co.",NULL,NULL,NULL,"There is a risk that the budget will not be enough to cover the new type of testing that's required","Plan Complete",technology,green,NULL,NULL,"2021-11-23 10:04:23"
1,"RFP for Xray Co.",NULL,NULL,NULL,"There is a risk that the budget will not be enough to cover the new type of testing that's required","Plan Complete",communication,green,NULL,NULL,"2021-11-23 10:04:23"
1,"RFP for Xray Co.",NULL,NULL,NULL,"There is a risk that the budget will not be enough to cover the new type of testing that's required","Plan Complete",other,green,NULL,NULL,"2021-11-23 10:04:23"
1,"RFP for Xray Co.",NULL,NULL,NULL,"There is a risk that the budget will not be enough to cover the new type of testing that's required","Plan Complete",other,red,green,NULL,"2021-11-23 10:04:23"
1,"RFP for Xray Co.",NULL,NULL,NULL,"There is a risk that the budget will not be enough to cover the new type of testing that's required","Plan Complete",technology,red,green,NULL,"2021-11-23 10:04:23"
1,"RFP for Xray Co.",NULL,NULL,NULL,"There is a risk that the budget will not be enough to cover the new type of testing that's required","Plan Complete",communication,green,green,NULL,"2021-11-23 10:04:23"
1,"RFP for Xray Co.",NULL,NULL,NULL,"There is a risk that the budget will not be enough to cover the new type of testing that's required","Plan Complete",resources,green,green,NULL,"2021-11-23 10:04:23"
1,"RFP for Xray Co.",NULL,NULL,NULL,"There is a risk that the budget will not be enough to cover the new type of testing that's required","Plan Complete",overall,red,green,"trouble with resources","2021-11-23 10:04:23"
1,"RFP for Xray Co.",NULL,NULL,NULL,"There is a risk that the budget will not be enough to cover the new type of testing that's required","Plan Complete",budget,yellow,red,NULL,"2021-11-23 10:04:23"
1,"RFP for Xray Co.",NULL,NULL,NULL,"There is a risk that the budget will not be enough to cover the new type of testing that's required","Plan Complete",resources,red,green,NULL,"2021-11-23 10:04:23"
1,"RFP for Xray Co.",NULL,NULL,NULL,"There is a risk that the budget will not be enough to cover the new type of testing that's required","Plan Complete",technology,green,red,NULL,"2021-11-23 10:04:23"
1,"RFP for Xray Co.",NULL,NULL,NULL,"There is a risk that the budget will not be enough to cover the new type of testing that's required","Plan Complete",overall,yellow,red,"we have the plan in place to get us back on track","2021-11-23 10:04:23"
1,"RFP for Xray Co.",NULL,NULL,NULL,"There is a risk that the budget will not be enough to cover the new type of testing that's required","Plan Complete",schedule,green,red,"we are executing on the plan and schedule now","2021-11-23 10:04:23"
1,"RFP for Xray Co.",NULL,NULL,NULL,"There is a risk that the budget will not be enough to cover the new type of testing that's required","Plan Complete",budget,yellow,yellow,"need to confirm the changes to the scope have not negatively impacted the budget","2021-11-23 10:04:23"
1,"RFP for Xray Co.",NULL,NULL,NULL,"There is a risk that the budget will not be enough to cover the new type of testing that's required","Plan Complete",resources,yellow,red,"we have meeting set with resource areas and should be moving to 'green' soon","2021-11-23 10:04:23"
1,"RFP for Xray Co.",NULL,NULL,NULL,"There is a risk that the budget will not be enough to cover the new type of testing that's required","Plan Complete",other,yellow,red,"meeting with the sponsor and the sales team to determine if the benefits are still available to us since we changed the scope","2021-11-23 10:04:23"
1,"RFP for Xray Co.",NULL,NULL,NULL,"There is a risk that the budget will not be enough to cover the new type of testing that's required","review of documents complete",overall,green,NULL,NULL,"2021-11-23 10:04:23"
1,"RFP for Xray Co.",NULL,NULL,NULL,"There is a risk that the budget will not be enough to cover the new type of testing that's required","review of documents complete",scope,green,NULL,NULL,"2021-11-23 10:04:23"
1,"RFP for Xray Co.",NULL,NULL,NULL,"There is a risk that the budget will not be enough to cover the new type of testing that's required","review of documents complete",budget,green,NULL,NULL,"2021-11-23 10:04:23"
1,"RFP for Xray Co.",NULL,NULL,NULL,"There is a risk that the budget will not be enough to cover the new type of testing that's required","review of documents complete",schedule,green,NULL,NULL,"2021-11-23 10:04:23"
1,"RFP for Xray Co.",NULL,NULL,NULL,"There is a risk that the budget will not be enough to cover the new type of testing that's required","review of documents complete",overall,yellow,green,NULL,"2021-11-23 10:04:23"
1,"RFP for Xray Co.",NULL,NULL,NULL,"There is a risk that the budget will not be enough to cover the new type of testing that's required","review of documents complete",scope,green,green,NULL,"2021-11-23 10:04:23"
1,"RFP for Xray Co.",NULL,NULL,NULL,"There is a risk that the budget will not be enough to cover the new type of testing that's required","review of documents complete",schedule,red,green,NULL,"2021-11-23 10:04:23"
1,"RFP for Xray Co.",NULL,NULL,NULL,"There is a risk that the budget will not be enough to cover the new type of testing that's required","review of documents complete",budget,red,green,NULL,"2021-11-23 10:04:23"
1,"RFP for Xray Co.",NULL,NULL,NULL,"There is a risk that the budget will not be enough to cover the new type of testing that's required","review of documents complete",overall,red,yellow,NULL,"2021-11-23 10:04:23"
1,"RFP for Xray Co.",NULL,NULL,NULL,"There is a risk that the budget will not be enough to cover the new type of testing that's required","review of documents complete",overall,yellow,red,NULL,"2021-11-23 10:04:23"
1,"RFP for Xray Co.",NULL,NULL,NULL,"There is a risk that the budget will not be enough to cover the new type of testing that's required","review of documents complete",schedule,red,red,NULL,"2021-11-23 10:04:23"
1,"RFP for Xray Co.",NULL,NULL,NULL,"There is a risk that the budget will not be enough to cover the new type of testing that's required","review of documents complete",overall,green,yellow,NULL,"2021-11-23 10:04:23"
1,"RFP for Xray Co.",NULL,NULL,NULL,"There is a risk that the budget will not be enough to cover the new type of testing that's required","review of documents complete",resources,green,NULL,NULL,"2021-11-23 10:04:23"
1,"RFP for Xray Co.",NULL,NULL,NULL,"There is a risk that the budget will not be enough to cover the new type of testing that's required","review of documents complete",technology,green,NULL,NULL,"2021-11-23 10:04:23"
1,"RFP for Xray Co.",NULL,NULL,NULL,"There is a risk that the budget will not be enough to cover the new type of testing that's required","review of documents complete",communication,green,NULL,NULL,"2021-11-23 10:04:23"
1,"RFP for Xray Co.",NULL,NULL,NULL,"There is a risk that the budget will not be enough to cover the new type of testing that's required","review of documents complete",other,green,NULL,NULL,"2021-11-23 10:04:23"
1,"RFP for Xray Co.",NULL,NULL,NULL,"There is a risk that the budget will not be enough to cover the new type of testing that's required","review of documents complete",other,red,green,NULL,"2021-11-23 10:04:23"
1,"RFP for Xray Co.",NULL,NULL,NULL,"There is a risk that the budget will not be enough to cover the new type of testing that's required","review of documents complete",technology,red,green,NULL,"2021-11-23 10:04:23"
1,"RFP for Xray Co.",NULL,NULL,NULL,"There is a risk that the budget will not be enough to cover the new type of testing that's required","review of documents complete",communication,green,green,NULL,"2021-11-23 10:04:23"
1,"RFP for Xray Co.",NULL,NULL,NULL,"There is a risk that the budget will not be enough to cover the new type of testing that's required","review of documents complete",resources,green,green,NULL,"2021-11-23 10:04:23"
1,"RFP for Xray Co.",NULL,NULL,NULL,"There is a risk that the budget will not be enough to cover the new type of testing that's required","review of documents complete",overall,red,green,"trouble with resources","2021-11-23 10:04:23"
1,"RFP for Xray Co.",NULL,NULL,NULL,"There is a risk that the budget will not be enough to cover the new type of testing that's required","review of documents complete",budget,yellow,red,NULL,"2021-11-23 10:04:23"
1,"RFP for Xray Co.",NULL,NULL,NULL,"There is a risk that the budget will not be enough to cover the new type of testing that's required","review of documents complete",resources,red,green,NULL,"2021-11-23 10:04:23"
1,"RFP for Xray Co.",NULL,NULL,NULL,"There is a risk that the budget will not be enough to cover the new type of testing that's required","review of documents complete",technology,green,red,NULL,"2021-11-23 10:04:23"
1,"RFP for Xray Co.",NULL,NULL,NULL,"There is a risk that the budget will not be enough to cover the new type of testing that's required","review of documents complete",overall,yellow,red,"we have the plan in place to get us back on track","2021-11-23 10:04:23"
1,"RFP for Xray Co.",NULL,NULL,NULL,"There is a risk that the budget will not be enough to cover the new type of testing that's required","review of documents complete",schedule,green,red,"we are executing on the plan and schedule now","2021-11-23 10:04:23"
1,"RFP for Xray Co.",NULL,NULL,NULL,"There is a risk that the budget will not be enough to cover the new type of testing that's required","review of documents complete",budget,yellow,yellow,"need to confirm the changes to the scope have not negatively impacted the budget","2021-11-23 10:04:23"
1,"RFP for Xray Co.",NULL,NULL,NULL,"There is a risk that the budget will not be enough to cover the new type of testing that's required","review of documents complete",resources,yellow,red,"we have meeting set with resource areas and should be moving to 'green' soon","2021-11-23 10:04:23"
1,"RFP for Xray Co.",NULL,NULL,NULL,"There is a risk that the budget will not be enough to cover the new type of testing that's required","review of documents complete",other,yellow,red,"meeting with the sponsor and the sales team to determine if the benefits are still available to us since we changed the scope","2021-11-23 10:04:23"
1,"RFP for Xray Co.",NULL,NULL,NULL,"There is a risk that the budget will not be enough to cover the new type of testing that's required","Training Complete",overall,green,NULL,NULL,"2021-11-23 10:04:23"
1,"RFP for Xray Co.",NULL,NULL,NULL,"There is a risk that the budget will not be enough to cover the new type of testing that's required","Training Complete",scope,green,NULL,NULL,"2021-11-23 10:04:23"
1,"RFP for Xray Co.",NULL,NULL,NULL,"There is a risk that the budget will not be enough to cover the new type of testing that's required","Training Complete",budget,green,NULL,NULL,"2021-11-23 10:04:23"
1,"RFP for Xray Co.",NULL,NULL,NULL,"There is a risk that the budget will not be enough to cover the new type of testing that's required","Training Complete",schedule,green,NULL,NULL,"2021-11-23 10:04:23"
1,"RFP for Xray Co.",NULL,NULL,NULL,"There is a risk that the budget will not be enough to cover the new type of testing that's required","Training Complete",overall,yellow,green,NULL,"2021-11-23 10:04:23"
1,"RFP for Xray Co.",NULL,NULL,NULL,"There is a risk that the budget will not be enough to cover the new type of testing that's required","Training Complete",scope,green,green,NULL,"2021-11-23 10:04:23"
1,"RFP for Xray Co.",NULL,NULL,NULL,"There is a risk that the budget will not be enough to cover the new type of testing that's required","Training Complete",schedule,red,green,NULL,"2021-11-23 10:04:23"
1,"RFP for Xray Co.",NULL,NULL,NULL,"There is a risk that the budget will not be enough to cover the new type of testing that's required","Training Complete",budget,red,green,NULL,"2021-11-23 10:04:23"
1,"RFP for Xray Co.",NULL,NULL,NULL,"There is a risk that the budget will not be enough to cover the new type of testing that's required","Training Complete",overall,red,yellow,NULL,"2021-11-23 10:04:23"
1,"RFP for Xray Co.",NULL,NULL,NULL,"There is a risk that the budget will not be enough to cover the new type of testing that's required","Training Complete",overall,yellow,red,NULL,"2021-11-23 10:04:23"
1,"RFP for Xray Co.",NULL,NULL,NULL,"There is a risk that the budget will not be enough to cover the new type of testing that's required","Training Complete",schedule,red,red,NULL,"2021-11-23 10:04:23"
1,"RFP for Xray Co.",NULL,NULL,NULL,"There is a risk that the budget will not be enough to cover the new type of testing that's required","Training Complete",overall,green,yellow,NULL,"2021-11-23 10:04:23"
1,"RFP for Xray Co.",NULL,NULL,NULL,"There is a risk that the budget will not be enough to cover the new type of testing that's required","Training Complete",resources,green,NULL,NULL,"2021-11-23 10:04:23"
1,"RFP for Xray Co.",NULL,NULL,NULL,"There is a risk that the budget will not be enough to cover the new type of testing that's required","Training Complete",technology,green,NULL,NULL,"2021-11-23 10:04:23"
1,"RFP for Xray Co.",NULL,NULL,NULL,"There is a risk that the budget will not be enough to cover the new type of testing that's required","Training Complete",communication,green,NULL,NULL,"2021-11-23 10:04:23"
1,"RFP for Xray Co.",NULL,NULL,NULL,"There is a risk that the budget will not be enough to cover the new type of testing that's required","Training Complete",other,green,NULL,NULL,"2021-11-23 10:04:23"
1,"RFP for Xray Co.",NULL,NULL,NULL,"There is a risk that the budget will not be enough to cover the new type of testing that's required","Training Complete",other,red,green,NULL,"2021-11-23 10:04:23"
1,"RFP for Xray Co.",NULL,NULL,NULL,"There is a risk that the budget will not be enough to cover the new type of testing that's required","Training Complete",technology,red,green,NULL,"2021-11-23 10:04:23"
1,"RFP for Xray Co.",NULL,NULL,NULL,"There is a risk that the budget will not be enough to cover the new type of testing that's required","Training Complete",communication,green,green,NULL,"2021-11-23 10:04:23"
1,"RFP for Xray Co.",NULL,NULL,NULL,"There is a risk that the budget will not be enough to cover the new type of testing that's required","Training Complete",resources,green,green,NULL,"2021-11-23 10:04:23"
1,"RFP for Xray Co.",NULL,NULL,NULL,"There is a risk that the budget will not be enough to cover the new type of testing that's required","Training Complete",overall,red,green,"trouble with resources","2021-11-23 10:04:23"
1,"RFP for Xray Co.",NULL,NULL,NULL,"There is a risk that the budget will not be enough to cover the new type of testing that's required","Training Complete",budget,yellow,red,NULL,"2021-11-23 10:04:23"
1,"RFP for Xray Co.",NULL,NULL,NULL,"There is a risk that the budget will not be enough to cover the new type of testing that's required","Training Complete",resources,red,green,NULL,"2021-11-23 10:04:23"
1,"RFP for Xray Co.",NULL,NULL,NULL,"There is a risk that the budget will not be enough to cover the new type of testing that's required","Training Complete",technology,green,red,NULL,"2021-11-23 10:04:23"
1,"RFP for Xray Co.",NULL,NULL,NULL,"There is a risk that the budget will not be enough to cover the new type of testing that's required","Training Complete",overall,yellow,red,"we have the plan in place to get us back on track","2021-11-23 10:04:23"
1,"RFP for Xray Co.",NULL,NULL,NULL,"There is a risk that the budget will not be enough to cover the new type of testing that's required","Training Complete",schedule,green,red,"we are executing on the plan and schedule now","2021-11-23 10:04:23"
1,"RFP for Xray Co.",NULL,NULL,NULL,"There is a risk that the budget will not be enough to cover the new type of testing that's required","Training Complete",budget,yellow,yellow,"need to confirm the changes to the scope have not negatively impacted the budget","2021-11-23 10:04:23"
1,"RFP for Xray Co.",NULL,NULL,NULL,"There is a risk that the budget will not be enough to cover the new type of testing that's required","Training Complete",resources,yellow,red,"we have meeting set with resource areas and should be moving to 'green' soon","2021-11-23 10:04:23"
1,"RFP for Xray Co.",NULL,NULL,NULL,"There is a risk that the budget will not be enough to cover the new type of testing that's required","Training Complete",other,yellow,red,"meeting with the sponsor and the sales team to determine if the benefits are still available to us since we changed the scope","2021-11-23 10:04:23"
1,"RFP for Xray Co.",NULL,NULL,NULL,"There is a risk that the budget will not be enough to cover the new type of testing that's required","Post Project Review Done",overall,green,NULL,NULL,"2021-11-23 10:04:23"
1,"RFP for Xray Co.",NULL,NULL,NULL,"There is a risk that the budget will not be enough to cover the new type of testing that's required","Post Project Review Done",scope,green,NULL,NULL,"2021-11-23 10:04:23"
1,"RFP for Xray Co.",NULL,NULL,NULL,"There is a risk that the budget will not be enough to cover the new type of testing that's required","Post Project Review Done",budget,green,NULL,NULL,"2021-11-23 10:04:23"
1,"RFP for Xray Co.",NULL,NULL,NULL,"There is a risk that the budget will not be enough to cover the new type of testing that's required","Post Project Review Done",schedule,green,NULL,NULL,"2021-11-23 10:04:23"
1,"RFP for Xray Co.",NULL,NULL,NULL,"There is a risk that the budget will not be enough to cover the new type of testing that's required","Post Project Review Done",overall,yellow,green,NULL,"2021-11-23 10:04:23"
1,"RFP for Xray Co.",NULL,NULL,NULL,"There is a risk that the budget will not be enough to cover the new type of testing that's required","Post Project Review Done",scope,green,green,NULL,"2021-11-23 10:04:23"
1,"RFP for Xray Co.",NULL,NULL,NULL,"There is a risk that the budget will not be enough to cover the new type of testing that's required","Post Project Review Done",schedule,red,green,NULL,"2021-11-23 10:04:23"
1,"RFP for Xray Co.",NULL,NULL,NULL,"There is a risk that the budget will not be enough to cover the new type of testing that's required","Post Project Review Done",budget,red,green,NULL,"2021-11-23 10:04:23"
1,"RFP for Xray Co.",NULL,NULL,NULL,"There is a risk that the budget will not be enough to cover the new type of testing that's required","Post Project Review Done",overall,red,yellow,NULL,"2021-11-23 10:04:23"
1,"RFP for Xray Co.",NULL,NULL,NULL,"There is a risk that the budget will not be enough to cover the new type of testing that's required","Post Project Review Done",overall,yellow,red,NULL,"2021-11-23 10:04:23"
1,"RFP for Xray Co.",NULL,NULL,NULL,"There is a risk that the budget will not be enough to cover the new type of testing that's required","Post Project Review Done",schedule,red,red,NULL,"2021-11-23 10:04:23"
1,"RFP for Xray Co.",NULL,NULL,NULL,"There is a risk that the budget will not be enough to cover the new type of testing that's required","Post Project Review Done",overall,green,yellow,NULL,"2021-11-23 10:04:23"
1,"RFP for Xray Co.",NULL,NULL,NULL,"There is a risk that the budget will not be enough to cover the new type of testing that's required","Post Project Review Done",resources,green,NULL,NULL,"2021-11-23 10:04:23"
1,"RFP for Xray Co.",NULL,NULL,NULL,"There is a risk that the budget will not be enough to cover the new type of testing that's required","Post Project Review Done",technology,green,NULL,NULL,"2021-11-23 10:04:23"
1,"RFP for Xray Co.",NULL,NULL,NULL,"There is a risk that the budget will not be enough to cover the new type of testing that's required","Post Project Review Done",communication,green,NULL,NULL,"2021-11-23 10:04:23"
1,"RFP for Xray Co.",NULL,NULL,NULL,"There is a risk that the budget will not be enough to cover the new type of testing that's required","Post Project Review Done",other,green,NULL,NULL,"2021-11-23 10:04:23"
1,"RFP for Xray Co.",NULL,NULL,NULL,"There is a risk that the budget will not be enough to cover the new type of testing that's required","Post Project Review Done",other,red,green,NULL,"2021-11-23 10:04:23"
1,"RFP for Xray Co.",NULL,NULL,NULL,"There is a risk that the budget will not be enough to cover the new type of testing that's required","Post Project Review Done",technology,red,green,NULL,"2021-11-23 10:04:23"
1,"RFP for Xray Co.",NULL,NULL,NULL,"There is a risk that the budget will not be enough to cover the new type of testing that's required","Post Project Review Done",communication,green,green,NULL,"2021-11-23 10:04:23"
1,"RFP for Xray Co.",NULL,NULL,NULL,"There is a risk that the budget will not be enough to cover the new type of testing that's required","Post Project Review Done",resources,green,green,NULL,"2021-11-23 10:04:23"
1,"RFP for Xray Co.",NULL,NULL,NULL,"There is a risk that the budget will not be enough to cover the new type of testing that's required","Post Project Review Done",overall,red,green,"trouble with resources","2021-11-23 10:04:23"
1,"RFP for Xray Co.",NULL,NULL,NULL,"There is a risk that the budget will not be enough to cover the new type of testing that's required","Post Project Review Done",budget,yellow,red,NULL,"2021-11-23 10:04:23"
1,"RFP for Xray Co.",NULL,NULL,NULL,"There is a risk that the budget will not be enough to cover the new type of testing that's required","Post Project Review Done",resources,red,green,NULL,"2021-11-23 10:04:23"
1,"RFP for Xray Co.",NULL,NULL,NULL,"There is a risk that the budget will not be enough to cover the new type of testing that's required","Post Project Review Done",technology,green,red,NULL,"2021-11-23 10:04:23"
1,"RFP for Xray Co.",NULL,NULL,NULL,"There is a risk that the budget will not be enough to cover the new type of testing that's required","Post Project Review Done",overall,yellow,red,"we have the plan in place to get us back on track","2021-11-23 10:04:23"
1,"RFP for Xray Co.",NULL,NULL,NULL,"There is a risk that the budget will not be enough to cover the new type of testing that's required","Post Project Review Done",schedule,green,red,"we are executing on the plan and schedule now","2021-11-23 10:04:23"
1,"RFP for Xray Co.",NULL,NULL,NULL,"There is a risk that the budget will not be enough to cover the new type of testing that's required","Post Project Review Done",budget,yellow,yellow,"need to confirm the changes to the scope have not negatively impacted the budget","2021-11-23 10:04:23"
1,"RFP for Xray Co.",NULL,NULL,NULL,"There is a risk that the budget will not be enough to cover the new type of testing that's required","Post Project Review Done",resources,yellow,red,"we have meeting set with resource areas and should be moving to 'green' soon","2021-11-23 10:04:23"
1,"RFP for Xray Co.",NULL,NULL,NULL,"There is a risk that the budget will not be enough to cover the new type of testing that's required","Post Project Review Done",other,yellow,red,"meeting with the sponsor and the sales team to determine if the benefits are still available to us since we changed the scope","2021-11-23 10:04:23"
1,"RFP for Xray Co.",NULL,NULL,NULL,"There is a risk that the budget will not be enough to cover the new type of testing that's required","Project Closed",overall,green,NULL,NULL,"2021-11-23 10:04:23"
1,"RFP for Xray Co.",NULL,NULL,NULL,"There is a risk that the budget will not be enough to cover the new type of testing that's required","Project Closed",scope,green,NULL,NULL,"2021-11-23 10:04:23"
1,"RFP for Xray Co.",NULL,NULL,NULL,"There is a risk that the budget will not be enough to cover the new type of testing that's required","Project Closed",budget,green,NULL,NULL,"2021-11-23 10:04:23"
1,"RFP for Xray Co.",NULL,NULL,NULL,"There is a risk that the budget will not be enough to cover the new type of testing that's required","Project Closed",schedule,green,NULL,NULL,"2021-11-23 10:04:23"
1,"RFP for Xray Co.",NULL,NULL,NULL,"There is a risk that the budget will not be enough to cover the new type of testing that's required","Project Closed",overall,yellow,green,NULL,"2021-11-23 10:04:23"
1,"RFP for Xray Co.",NULL,NULL,NULL,"There is a risk that the budget will not be enough to cover the new type of testing that's required","Project Closed",scope,green,green,NULL,"2021-11-23 10:04:23"
1,"RFP for Xray Co.",NULL,NULL,NULL,"There is a risk that the budget will not be enough to cover the new type of testing that's required","Project Closed",schedule,red,green,NULL,"2021-11-23 10:04:23"
1,"RFP for Xray Co.",NULL,NULL,NULL,"There is a risk that the budget will not be enough to cover the new type of testing that's required","Project Closed",budget,red,green,NULL,"2021-11-23 10:04:23"
1,"RFP for Xray Co.",NULL,NULL,NULL,"There is a risk that the budget will not be enough to cover the new type of testing that's required","Project Closed",overall,red,yellow,NULL,"2021-11-23 10:04:23"
1,"RFP for Xray Co.",NULL,NULL,NULL,"There is a risk that the budget will not be enough to cover the new type of testing that's required","Project Closed",overall,yellow,red,NULL,"2021-11-23 10:04:23"
1,"RFP for Xray Co.",NULL,NULL,NULL,"There is a risk that the budget will not be enough to cover the new type of testing that's required","Project Closed",schedule,red,red,NULL,"2021-11-23 10:04:23"
1,"RFP for Xray Co.",NULL,NULL,NULL,"There is a risk that the budget will not be enough to cover the new type of testing that's required","Project Closed",overall,green,yellow,NULL,"2021-11-23 10:04:23"
1,"RFP for Xray Co.",NULL,NULL,NULL,"There is a risk that the budget will not be enough to cover the new type of testing that's required","Project Closed",resources,green,NULL,NULL,"2021-11-23 10:04:23"
1,"RFP for Xray Co.",NULL,NULL,NULL,"There is a risk that the budget will not be enough to cover the new type of testing that's required","Project Closed",technology,green,NULL,NULL,"2021-11-23 10:04:23"
1,"RFP for Xray Co.",NULL,NULL,NULL,"There is a risk that the budget will not be enough to cover the new type of testing that's required","Project Closed",communication,green,NULL,NULL,"2021-11-23 10:04:23"
1,"RFP for Xray Co.",NULL,NULL,NULL,"There is a risk that the budget will not be enough to cover the new type of testing that's required","Project Closed",other,green,NULL,NULL,"2021-11-23 10:04:23"
1,"RFP for Xray Co.",NULL,NULL,NULL,"There is a risk that the budget will not be enough to cover the new type of testing that's required","Project Closed",other,red,green,NULL,"2021-11-23 10:04:23"
1,"RFP for Xray Co.",NULL,NULL,NULL,"There is a risk that the budget will not be enough to cover the new type of testing that's required","Project Closed",technology,red,green,NULL,"2021-11-23 10:04:23"
1,"RFP for Xray Co.",NULL,NULL,NULL,"There is a risk that the budget will not be enough to cover the new type of testing that's required","Project Closed",communication,green,green,NULL,"2021-11-23 10:04:23"
1,"RFP for Xray Co.",NULL,NULL,NULL,"There is a risk that the budget will not be enough to cover the new type of testing that's required","Project Closed",resources,green,green,NULL,"2021-11-23 10:04:23"
1,"RFP for Xray Co.",NULL,NULL,NULL,"There is a risk that the budget will not be enough to cover the new type of testing that's required","Project Closed",overall,red,green,"trouble with resources","2021-11-23 10:04:23"
1,"RFP for Xray Co.",NULL,NULL,NULL,"There is a risk that the budget will not be enough to cover the new type of testing that's required","Project Closed",budget,yellow,red,NULL,"2021-11-23 10:04:23"
1,"RFP for Xray Co.",NULL,NULL,NULL,"There is a risk that the budget will not be enough to cover the new type of testing that's required","Project Closed",resources,red,green,NULL,"2021-11-23 10:04:23"
1,"RFP for Xray Co.",NULL,NULL,NULL,"There is a risk that the budget will not be enough to cover the new type of testing that's required","Project Closed",technology,green,red,NULL,"2021-11-23 10:04:23"
1,"RFP for Xray Co.",NULL,NULL,NULL,"There is a risk that the budget will not be enough to cover the new type of testing that's required","Project Closed",overall,yellow,red,"we have the plan in place to get us back on track","2021-11-23 10:04:23"
1,"RFP for Xray Co.",NULL,NULL,NULL,"There is a risk that the budget will not be enough to cover the new type of testing that's required","Project Closed",schedule,green,red,"we are executing on the plan and schedule now","2021-11-23 10:04:23"
1,"RFP for Xray Co.",NULL,NULL,NULL,"There is a risk that the budget will not be enough to cover the new type of testing that's required","Project Closed",budget,yellow,yellow,"need to confirm the changes to the scope have not negatively impacted the budget","2021-11-23 10:04:23"
1,"RFP for Xray Co.",NULL,NULL,NULL,"There is a risk that the budget will not be enough to cover the new type of testing that's required","Project Closed",resources,yellow,red,"we have meeting set with resource areas and should be moving to 'green' soon","2021-11-23 10:04:23"
1,"RFP for Xray Co.",NULL,NULL,NULL,"There is a risk that the budget will not be enough to cover the new type of testing that's required","Project Closed",other,yellow,red,"meeting with the sponsor and the sales team to determine if the benefits are still available to us since we changed the scope","2021-11-23 10:04:23"
1,"RFP for Xray Co.",NULL,NULL,NULL,"risk that the support window for the implementation in the system will not be available within a month of our finish.","Plan Complete",overall,green,NULL,NULL,"2021-11-23 10:04:23"
1,"RFP for Xray Co.",NULL,NULL,NULL,"risk that the support window for the implementation in the system will not be available within a month of our finish.","Plan Complete",scope,green,NULL,NULL,"2021-11-23 10:04:23"
1,"RFP for Xray Co.",NULL,NULL,NULL,"risk that the support window for the implementation in the system will not be available within a month of our finish.","Plan Complete",budget,green,NULL,NULL,"2021-11-23 10:04:23"
1,"RFP for Xray Co.",NULL,NULL,NULL,"risk that the support window for the implementation in the system will not be available within a month of our finish.","Plan Complete",schedule,green,NULL,NULL,"2021-11-23 10:04:23"
1,"RFP for Xray Co.",NULL,NULL,NULL,"risk that the support window for the implementation in the system will not be available within a month of our finish.","Plan Complete",overall,yellow,green,NULL,"2021-11-23 10:04:23"
1,"RFP for Xray Co.",NULL,NULL,NULL,"risk that the support window for the implementation in the system will not be available within a month of our finish.","Plan Complete",scope,green,green,NULL,"2021-11-23 10:04:23"
