model_type,model_id,risk_id
Labs\Meeting\Entities\MeetingMinutes,15,24
Labs\Meeting\Entities\MeetingMinutes,17,25
Labs\Meeting\Entities\MeetingMinutes,18,25
Labs\Meeting\Entities\MeetingMinutes,19,25
Labs\Meeting\Entities\MeetingMinutes,21,25
Labs\Meeting\Entities\MeetingMinutes,22,25
Labs\Meeting\Entities\MeetingMinutes,25,25
Labs\Meeting\Entities\MeetingMinutes,31,25
Labs\Meeting\Entities\MeetingMinutes,33,25
Labs\Meeting\Entities\MeetingMinutes,36,25
Labs\Meeting\Entities\MeetingMinutes,39,25
Labs\Meeting\Entities\MeetingMinutes,44,25
Labs\Meeting\Entities\MeetingMinutes,48,25
Labs\Meeting\Entities\MeetingMinutes,52,25
Labs\Meeting\Entities\MeetingMinutes,17,26
Labs\Meeting\Entities\MeetingMinutes,20,26
Labs\Meeting\Entities\MeetingMinutes,21,26
Labs\Meeting\Entities\MeetingMinutes,23,26
Labs\Meeting\Entities\MeetingMinutes,25,26
Labs\Meeting\Entities\MeetingMinutes,31,26
Labs\Meeting\Entities\MeetingMinutes,33,26
Labs\Meeting\Entities\MeetingMinutes,34,26
Labs\Meeting\Entities\MeetingMinutes,36,26
Labs\Meeting\Entities\MeetingMinutes,39,26
Labs\Meeting\Entities\MeetingMinutes,44,26
Labs\Meeting\Entities\MeetingMinutes,46,26
Labs\Meeting\Entities\MeetingMinutes,47,26
Labs\Meeting\Entities\MeetingMinutes,48,26
Labs\Meeting\Entities\MeetingMinutes,51,26
Labs\Meeting\Entities\MeetingMinutes,52,26
Labs\Meeting\Entities\MeetingMinutes,24,27
Labs\Meeting\Entities\MeetingMinutes,68,29
Labs\Meeting\Entities\MeetingMinutes,28,38
Labs\Meeting\Entities\MeetingMinutes,31,38
Labs\Meeting\Entities\MeetingMinutes,32,38
Labs\Meeting\Entities\MeetingMinutes,34,38
Labs\Meeting\Entities\MeetingMinutes,35,38
Labs\Meeting\Entities\MeetingMinutes,46,38
Labs\Meeting\Entities\MeetingMinutes,47,38
Labs\Meeting\Entities\MeetingMinutes,49,38
Labs\Meeting\Entities\MeetingMinutes,52,38
Labs\Meeting\Entities\MeetingMinutes,53,38
Labs\Meeting\Entities\MeetingMinutes,69,52
Labs\Meeting\Entities\MeetingMinutes,72,52
Labs\Meeting\Entities\MeetingMinutes,86,52
Labs\Meeting\Entities\MeetingMinutes,69,54
Labs\Meeting\Entities\MeetingMinutes,70,54
Labs\Meeting\Entities\MeetingMinutes,71,54
Labs\Meeting\Entities\MeetingMinutes,72,54
Labs\Meeting\Entities\MeetingMinutes,81,54
Labs\Meeting\Entities\MeetingMinutes,86,54
Labs\Meeting\Entities\MeetingMinutes,67,55
Labs\Meeting\Entities\MeetingMinutes,69,55
Labs\Meeting\Entities\MeetingMinutes,72,55
Labs\Meeting\Entities\MeetingMinutes,81,55
Labs\Meeting\Entities\MeetingMinutes,86,243
Labs\Meeting\Entities\MeetingMinutes,73,316
Labs\Meeting\Entities\MeetingMinutes,73,317
Labs\Meeting\Entities\MeetingMinutes,73,318
Labs\Meeting\Entities\MeetingMinutes,73,319
Labs\Meeting\Entities\MeetingMinutes,73,320
Labs\Meeting\Entities\MeetingMinutes,74,329
Labs\Meeting\Entities\MeetingMinutes,74,330
Labs\Meeting\Entities\MeetingMinutes,74,331
Labs\Meeting\Entities\MeetingMinutes,74,332
Labs\Meeting\Entities\MeetingMinutes,74,333
Labs\Meeting\Entities\MeetingMinutes,74,334
Labs\Meeting\Entities\MeetingMinutes,74,335
Labs\Meeting\Entities\MeetingMinutes,74,336
Labs\Meeting\Entities\MeetingMinutes,74,337
Labs\Meeting\Entities\MeetingMinutes,74,338
Labs\Meeting\Entities\MeetingMinutes,75,384
Labs\Meeting\Entities\MeetingMinutes,86,495
