id,section,key,description,value,created_at,updated_at
11,all_learnings,side_panel:learn_description,Side Panel > Learn Description,"Learn & Improve Next Time is a description of the lesson(s) learned. Include what you would want to do the next time you encounter a similar situation, so that you and your project team can continue to improve on project results.",2021-11-04 12:23:38,2021-11-09 14:27:33
12,rewards,table:invited,Table > Invited,Indicates if the person has been sent an invitation to join Traxidy.,2021-11-04 12:23:38,2021-11-09 14:32:53
13,project_info,project_delivery_phase,Project Delivery Phase,"Current Delivery Phase refers to the delivery phase based on your specific project methodology and processes. Default phases include Initiation, Planning, Execution and Close. Go to Project Settings and make changes as needed.",2021-11-04 12:23:38,2021-11-09 14:42:10
14,project_info,key_deliverable,Key Deliverable,Key Deliverables are the high-level pieces of work identified during planning and that need to be done to complete the project.,2021-11-04 12:23:38,2021-11-29 12:55:04
15,project_info,key_element_importance,Key Element Importance,"Key Constraint Importance of the project Scope, Schedule and Budget helps to clarify the importance and criticality of each of these project aspects if changes are needed. Select the importance weighting for each constraint as a percentage, for a total of 100%. 
Best Practice: This is a great opportunity to clarify and ensure alignment on the most important constraint(s) of the project with your client or sponsor.",2021-11-04 12:23:38,2021-11-09 14:44:06
16,project_info,approved_revised_end_date,Approved Revised End Date,Approved Revised End Date is entered each time the scheduled end date is changed from the Original End Date. This change will be reflected in the Approved Revised Work Days.,2021-11-04 12:23:38,2021-11-09 14:48:09
17,project_info,actual_end_date,Actual End Date,"Actual End Date is the actual date the project ended. This can be different from the planned date to end the project and can be different from the date you close the project in Traxidy. Entered by you, the Member.",2021-11-04 12:23:38,2022-05-23 05:27:06
18,project_info,approved_revised_work_days,Approved Revised Work Days,Approved Revised Work Days is the total number of work days that have been added to the project based on approved schedule change(s).,2021-11-04 12:23:38,2021-11-09 14:49:22
19,project_info,target_implementation_days,Target Implementation Days,Target Implementation Date is a planned date to start implementing the output of the project. Sometimes the client or sponsor needs you to be aware of this timing.,2021-11-04 12:23:38,2021-11-09 14:50:37
20,project_info,date_closed_in_traxidy,Date Closed In Traxidy,"System generated. Date Project Closed in Traxidy is the date when you change the project Mode to Closed, moving it from the active Projects Area to the Closed Projects Area in Traxidy.",2021-11-04 12:23:38,2022-05-23 05:27:39
21,contacts,table:meeting_membership,Table > Meeting Membership,"Meeting  Membership (Contact group or distribution list) helps you save time by connecting Contacts with the project Meeting Type(s). Meeting Types include Project Team, Steering Committee, Unscheduled and your own specific Meeting Type (see Project Settings).",2021-11-04 12:23:38,2022-03-09 12:33:49
22,contacts,table:project_role,Table > Project Role,"Project Role refers to the specific role your contact plays in this project. Roles include Project Team Member, Key Stakeholder etc. and are to be used as an additional descriptor for Contacts.",2021-11-04 12:23:38,2021-11-09 14:56:42
23,contacts,new_contact:meeting_membership,New Contact > Meeting Membership,"Meeting  Membership (Contact group or distribution list) 
 helps you save time by connecting Contacts with the project Meeting Type(s). Meeting Types include Project Team, Steering Committee, Unscheduled and your own specific Meeting Type (see Project Settings).",2021-11-04 12:23:38,2022-03-09 12:34:01
24,contacts,new_contact:project_role,New Contact > Project Role,"Project Role refers to the specific role your contact plays in this project. Roles include Project Team Member, Key Stakeholder etc. and are to be used as an additional descriptor for Contacts.",2021-11-04 12:23:38,2021-11-09 14:57:52
25,contacts,new_contact:access_type,New Contact > Access Type,Access Type enables you to set up Contacts to access the Traxidy app to edit or only view information. CONTRIBUTOR access allows a Team Member to update their own Actions in the AID Area or Risks in the Risks Area. REVIEWER access provides the Contact the ability to review key Project Areas. Access can be different for each project and you can change Access Type at any time (see Contacts Area).,2021-11-04 12:23:38,2022-01-07 11:49:21
26,contacts,side_panel:meeting_membership,Side Panel > Meeting Membership,"Meeting  Membership (Contact group or distribution list) 
 helps you save time by connecting Contacts with the project Meeting Type(s). Meeting Types include Project Team, Steering Committee, Unscheduled and your own specific Meeting Type (see Project Settings).",2021-11-04 12:23:38,2022-03-09 12:34:11
27,contacts,side_panel:access_type,Side Panel > Access Type,Access Type enables you to set up Contacts to access the Traxidy app to edit or only view information. CONTRIBUTOR access allows a Team Member to update their own Actions in the AID Area or Risks in the Risks Area. REVIEWER access provides the Contact the ability to review key Project Areas. Access can be different for each project and you can change Access Type at any time (see Contacts Area).,2021-11-04 12:23:38,2022-01-07 11:51:00
28,meetings,table:invited,Table > Invited,Names of the Contacts who will show on the meeting details when you start to take the attendance for this meeting. These Contacts appear if they are part of the Meeting Membership for this type of meeting or you have added them separately.,2021-11-04 12:23:38,2021-11-12 08:04:39
29,meetings,meeting_minutes_comments,Meeting Minutes Comments,"The Comments section allows you to add specific items about the meeting that you may need everyone to know about that are not part of the Actions, Risks or Changes (that are included in the Meeting Minutes).",2021-11-04 12:23:38,2021-11-12 06:49:31
30,aid,new_action:issue_description,New Action > Issue Description,"Show the main concern or work item that needs to be tracked & overcome during the project. If the issue is handled, simply close it and it will move from Active to the Closed tab in AID.",2021-11-04 12:23:38,2022-03-23 05:35:58
31,aid,new_action:action_description,New Action > Action Description,"Record a concise statement of the measurable action to be taken by an Owner (or their team) in relation to the issue or work item. If a decision is made, be sure to update the Action Description with the details of the Decision Made & by whom.",2021-11-04 12:23:38,2022-03-23 05:45:03
32,risks,widgets:risk_rank_threshold,Widgets > Risk Rank Threshold,The Traxidy Risk Rank Line (RRL) provides an easy way to prioritize risks. Each risk receives a Risk Score that is estimated by you and your team by applying the Probability (P) and Impact (I) of the risk occurrence on the project. The RRL is the prioritization line or cut-off point. Risks on or above the RRL are ranked and prioritized and need to be monitored and managed. Risks below the RRL are low priority. Adjust the RRL by choosing Probability and Impact.,2021-11-04 12:23:38,2021-11-12 06:52:07
33,risks,table:key_constraint,Table > Key Constraint,"The Constraint refers to the Impacted Key Constraint(s) that are most affected if the Risk were to happen including Scope, Schedule or Budget. This helps to better understand what might be done to reduce the impact (mitigate) or work on a strategy if the risk presents itself (contingency).",2021-11-04 12:23:38,2021-11-12 06:52:57
34,risks,table:probability,Table > Probability,"Probability refers to the likelihood of a risk occurring shown as a percentage. Remember, if there is a 100% chance that the risk will occur, then it is an Issue and not a Risk. Select a probability between 5% to 95%",2021-11-04 12:23:38,2021-11-12 06:53:41
35,risks,table:impact,Table > Impact,"Impact refers to the magnitude of a risk's impact (if the risk was to occur) on any of the project's expected outcomes. Select from 1 to 5, with 1 having a very low impact and 5 having a very high impact if the risk was to occur.",2021-11-04 12:23:38,2022-03-17 11:29:20
36,risks,table:mitigation,Table > Mitigation,Mitigation is the specific plan of action to be taken to avoid or reduce the probability of the risk occurring. Include costs and time associated with this Mitigation plan.,2021-11-04 12:23:38,2021-11-12 06:59:46
37,risks,table:contingency,Table > Contingency,"Contingency is the specific plan of action to be taken to reduce the impact of the risk, on any of the project's expected outcomes, if the risk does occur. Include costs and time associated with this Contingency plan. A Change Request may need to be added to support this Contingency plan.",2021-11-04 12:23:38,2022-03-17 11:27:39
38,risks,new_risk:risk_statement,New Risk > Risk Statement,The Risk Statement explains the risk in clear and concise terms so that the risk can be understood and properly managed.,2021-11-04 12:23:38,2021-11-12 06:56:19
39,risks,new_risk:key_constraint,New Risk > Key Constraint,"The Impacted Key Constraint(s) are the ones most affected or impacted if the Risk were to happen including Scope, Schedule or Budget. This helps to better understand what might be done to reduce the impact (mitigate) or work on a strategy if the risk presents itself (contingency).",2021-11-04 12:23:38,2022-03-17 11:31:45
40,risks,new_risk:probability,New Risk > Probability,"Probability refers to the likelihood of a risk occurring shown as a percentage. Remember, if there is a 100% chance that the risk will occur, then it is an Issue and not a Risk. Select a probability between 5% to 95%",2021-11-04 12:23:38,2021-11-12 06:58:06
41,risks,new_risk:impact,New Risk > Impact,"Impact refers to the magnitude of a risk's impact (if the risk was to occur) on the project. Select from 1 to 5, with 1 having a very low impact and 5 having a very high impact if the risk was to occur.",2021-11-04 12:23:38,2021-11-12 07:47:31
42,risks,new_risk:risk_score,New Risk > Risk Score,The Risk Score is a Traxidy generated product of Probability multiplied by Impact,2021-11-04 12:23:38,2021-11-12 06:58:49
43,risks,new_risk:mitigation,New Risk > Mitigation,Mitigation is the specific plan of action to be taken to avoid or reduce the probability of the risk occurring. Include costs and time associated with this Mitigation plan.,2021-11-04 12:23:38,2021-11-12 06:59:33
44,risks,new_risk:contingency,New Risk > Contingency,Contingency is the specific plan of action to be taken to reduce the impact of the risk if the risk does occur and impacts any expected project outcome. Include costs and time associated with this Contingency plan. A Change Request may need to be added to support this Contingency plan.,2021-11-04 12:23:38,2022-03-17 11:30:58
45,risks,side_panel:risk_rank,Side Panel > Risk Rank,"Risk Rank is the priority listing of the Risk using the Risk Score. The higher the Risk Score number, the higher the risk is prioritized and the more important it is to monitor. Only Risks equal to or above the Risk Rank Line (RRL) will have a Risk Rank number and be prioritized. The Risks below the RRL will show as Unranked.",2021-11-04 12:23:38,2021-11-12 07:46:56
46,risks,side_panel:contingency,Side Panel > Contingency,Contingency is the specific plan of action to be taken to reduce the impact of the risk if the risk does occur. Include costs and time associated with this Contingency plan. A Change Request may need to be added to support this Contingency plan.,2021-11-04 12:23:38,2021-11-12 07:01:45
47,risks,side_panel:mitigation,Side Panel > Mitigation,Mitigation is the specific plan of action to be taken to avoid or reduce the probability of the risk occurring. Include costs and time associated with this Mitigation plan.,2021-11-04 12:23:38,2021-11-12 07:00:02
48,gyr,widget:pm_certainty_of_success,Widget > Pm Certainty Of Success,"The PM Certainty of Project Success refers to your assessment of the project successfully completing the current Scope, Schedule and Budget as a percentage. 
Best Practice: Leverage your assessment as a discussion starter with key stakeholders.",2021-11-04 12:23:38,2021-11-12 07:04:39
49,gyr,widget:pm_estimate_of_work_complete,Widget > Pm Estimate Of Work Complete,The PM Estimate of Work Complete is your estimate of the work complete up to the date of presenting the status report (shown as a percentage). This information also appears on the Project Status Area and Report.,2021-11-04 12:23:38,2021-11-12 07:03:57
50,gyr,widget:time_duration_complete,Widget > Time Duration Complete,Project Timeframe Complete is the percentage of time that has gone by since the Project Start Date compared to today's date and the Project End Date. The system calculation uses the number of Work Days per week from Project Settings.,2021-11-04 12:23:38,2021-11-12 07:05:23
51,gyr,widget:current_delivery_phase,Widget > Current Delivery Phase,"This refers to the delivery phase based on your specific project methodology and processes. Default phases are Initiation, Planning, Execution and Close. Go to Project Settings to input your own delivery phases.",2021-11-04 12:23:38,2022-01-14 09:14:36
52,status,widget:overall_status_comment,Widget > Overall Status Comment,Overall Status Comments briefly describes why the Overall Project has been given a specific GYR color.,2021-11-04 12:23:38,2021-11-12 07:06:55
53,status,widget:actions_to_change_status,Widget > Actions To Change Status,Actions to Change Status is a brief explanation on how a Yellow or Red project status will move back to Green. Comment only if your project is Yellow or Red.,2021-11-04 12:23:38,2021-11-12 07:07:29
54,status,widget:key_accomplishments,Widget > Key Accomplishments,Key Accomplishments is a concise list of the most important accomplishments since the last status update.,2021-11-04 12:23:38,2021-11-12 07:08:04
55,status,widget:next_key_steps,Widget > Next Key Steps,Next Steps is a brief list of the most important steps in the project going forward.,2021-11-04 12:23:38,2021-11-12 07:08:51
56,changes,widget:work_days,Widget > Work Days,"This chart below indicates the Overall Status Color of the project (GYR) and is a visual representation of the number of Work Days from the start of the project to today's date, as a portion of the Overall Number of Work Days. (see Project Settings for 5 or 7 days per week of work days)",2021-11-04 12:23:38,2021-11-12 07:45:44
57,changes,table:reason_for_change,Table > Reason For Change,Reason for Change is a brief explanation that outlines the problem statement and why this change may be required to ensure project success.,2021-11-04 12:23:38,2021-11-12 07:09:40
58,changes,table:description,Table > Description,"Comment and describe the actions or requirements that need to take place for the change to be successful including who, what and when.",2021-11-04 12:23:38,2021-11-12 07:17:10
59,changes,new_change:change_record_reference,New Change > Change Record Reference,Change Record Reference # provides the ability to add your organizations' Change Record/Request (CR) reference number if needed. This will be recorded in the automated CR Form and is useful for internal reference and communications.,2021-11-04 12:23:38,2021-11-12 07:10:52
60,changes,new_change:financial_impact_status,New Change > Financial Impact Status,Financial Impact Status can be set as Estimate or Firm based on your understanding of the financial impact of the change on the project.,2021-11-04 12:23:38,2021-11-12 07:11:25
61,changes,new_change:approval_by,New Change > Approval By,Approval By refers to the contact name of the person that will need to review and approve this Change Request.,2021-11-04 12:23:38,2021-11-12 07:11:55
62,changes,drawer:cr_ref,Drawer > Cr Ref,Change Record Reference # provides the ability to add your organizations' Change Record/Request (CR) reference number if needed. This will be recorded in the automated CR Form and is useful for internal reference and communications.,2021-11-04 12:23:38,2021-11-12 07:12:37
63,changes,drawer:schedule_impact,Drawer > Schedule Impact,"Impact is the number of Work Days that are associated with this change and would affect the current approved project schedule, by extending or reducing the schedule timeframe.",2021-11-04 12:23:38,2021-11-12 07:18:52
64,changes,drawer:approval_by,Drawer > Approval By,Approval By refers to the contact name of the person that will need to review and approve this Change Request.,2021-11-04 12:23:38,2021-11-12 07:13:05
65,changes,drawer:reason_for_change,Drawer > Reason For Change,Reason for Change is a brief explanation that outlines the problem statement and why this change may be required to ensure project success.,2021-11-04 12:23:38,2021-11-12 07:15:28
66,changes,request_form:cr_id,Request Form > Cr Id,CR (Change Record) ID is the Traxidy ID given automatically to each Change Record,2021-11-04 12:23:38,2022-01-07 11:51:52
67,changes,request_form:cr_ref,Request Form > Cr Ref,Change Record Reference # provides the ability to add your organizations' Change Record/Request (CR) reference number if needed. This will be recorded in the automated CR Form and is useful for internal reference and communications.,2021-11-04 12:23:38,2021-11-12 07:14:50
68,changes,request_form:status,Request Form > Status,"Change Status includes Investigating (working on details), Submitted (CR sent for approval), Approved (change and impact is reflected in the plan/budget) and Declined.",2021-11-04 12:23:38,2021-11-12 07:16:27
69,changes,request_form:description_of_change_required,Request Form > Description Of Change Required,"Comment and describe the actions or requirements that need to take place for the change to be successful including who, what and when.",2021-11-04 12:23:38,2021-11-12 07:19:38
70,changes,request_form:change_benefits,Request Form > Change Benefits,"Explain the benefits to the organization, customer or the project that will come from the change being made. Answer; ""Why would someone approve this change?""",2021-11-04 12:23:38,2021-11-12 07:36:21
71,changes,request_form:impact_if_not_made,Request Form > Impact If Not Made,"It is important to specifically indicate the impact to the organization, customer or project if the change you are trying to put forward is NOT made.",2021-11-04 12:23:38,2021-11-12 07:38:18
72,learning,widget:project_closed,Widget > Project Closed,Project Closed indicates whether you have officially closed the project (change the Project Mode to Closed). Projects that are officially closed will be removed from all Active Project Areas including the Dashboard and will be moved to Closed Projects (see Main Menu).,2021-11-04 12:23:38,2021-11-12 07:27:28
73,learning,widget:client_or_sponsor_survey_complete,Widget > Client Or Sponsor Survey Complete,"Your process may include a Client/Sponsor survey that signifies the team has completed the project work and provides an opportunity to gather feedback on the overall satisfaction of the project delivery. 
Best Practice: A project survey can be used to gauge the performance level of the project delivery organization as a Key Performance Indicator (KPI).",2021-11-04 12:23:38,2021-11-12 07:26:57
74,learning,table:impact,Table > Impact,"Impact +/- refers to the lesson learned and whether the experience had a positive or negative effect on the project. Ideally, you want to repeat a positive influence and avoid repeating a negative one.",2021-11-04 12:23:38,2021-11-12 07:22:02
75,learning,table:department,Table > Department,"Dept. Involved is the main business area or group that was involved in the situation and key learnings. They may be the group that you would want to take responsibility next time, to ensure that the learning is adopted.",2021-11-04 12:23:38,2021-11-12 07:23:25
76,learning,table:situation_impact_description,Table > Situation Impact Description,"Situation & Impact Description is a concise statement about the situation; what happened and how it impacted the project, positive or negative including what went well or didn't go very well.",2021-11-04 12:23:38,2021-11-12 07:28:19
77,learning,table:learn_improve_next_time,Table > Learn Improve Next Time,"Learn & Improve for Next Time is a description of the lesson(s) learned. Include what you would want to do the next time you encounter a similar situation, so that you and your project team can continue to improve on project results.",2021-11-04 12:23:38,2021-11-12 07:26:26
78,learning,new_learning:main_business_area_involved,New Learning > Main Business Area Involved,"Main Business Area Involved is the main business area or group that was involved in the situation and key learnings. They may be the group that you would want to take responsibility next time, to ensure that the learning is adopted.",2021-11-04 12:23:38,2021-11-12 07:23:59
79,learning,new_learning:issue_description_and_impact,New Learning > Issue Description And Impact,"Record a summary of the situation; what happened during the project and what was impacted in the project (scope schedule cost), including what went well or didn't go very well.",2021-11-04 12:23:38,2022-03-23 05:39:32
80,learning,new_learning:learn_improve_next_time,New Learning > Learn Improve Next Time,"Learn & Improve for Next Time is a description of the lesson(s) learned. Include what you would want to do the next time you encounter a similar situation, so that you and your project team can continue to improve on project results.",2021-11-04 12:23:38,2021-11-12 07:26:11
81,learning,drawer:issue_description_and_impact,Drawer > Issue Description And Impact,"Record a summary of the situation; what happened during the project and what was impacted in the project (scope schedule cost), including what went well or didn't go very well.",2021-11-04 12:23:38,2022-03-23 05:40:15
82,learning,drawer:learn_improve_next_time,Drawer > Learn Improve Next Time,"Learn & Improve for Next Time is a description of the lesson(s) learned. Include what you would want to do the next time you encounter a similar situation, so that you and your project team can continue to improve on project results.",2021-11-04 12:23:38,2021-11-12 07:25:54
83,dashboard,table:gyr,Table > Gyr,"This chart shows the color of the Overall Project Status and the % of time passed, in the overall project, from the start of the project until today's date",2022-01-06 00:45:25,2024-01-17 04:42:24
84,dashboard,table:past_due_actions_count,Table > Past Due Actions Count,The number of Actions that are currently Past Due in this project,2022-01-06 00:45:25,2022-01-06 13:11:24
85,dashboard,new_project:project_name,New Project > Project Name,Give the project a name that is recognized by the team members and anyone seeing your reports. This can be edited at any time in the Project Information area.,2022-01-06 00:45:25,2022-01-06 13:21:49
86,dashboard,new_project:work_week,New Project > Work Week,There are two choices; a 5 Day Work Week or a 7 Day Work Week. Change this any time and all the work day calculations will adjust automatically.,2022-01-06 00:45:25,2022-01-06 13:19:22
87,dashboard,new_project:mode,New Project > Mode,"The Mode of the project can be Open, On Hold, Cancelled, Complete and when Closed, will appear in the folder of Closed Projects. No further notifications.",2022-01-06 00:45:25,2024-01-17 04:35:30
88,dashboard,new_project:cost_center,New Project > Cost Center,An optional field to be used to indicate the budget code or cost centre to be used for this project.,2022-01-06 00:45:25,2022-01-06 13:23:41
89,dashboard,new_project:dept_req_project,New Project > Dept Req Project,"Indicate the area, group or department that is requesting this project. An optional input.",2022-01-06 00:45:25,2022-01-06 13:25:02
90,dashboard,new_project:target_implementation_date,New Project > Target Implementation Date,"An optional date, typically representing the timing for any computer system changes to be implemented for the use of the organization. The project may itself finish but the benefits of the project may not be able to be implemented until a later date.",2022-01-06 00:45:25,2022-01-06 13:32:49
91,project_info,original_end_date,Original End Date,"The Original End Date is normally the projected end date at the time the project plan/schedule was approved. To keep track of the magnitude of any changes once the project is underway, don't change this date. Use the Approved Revised End Date for the date change.",2022-01-06 00:45:25,2022-06-15 12:28:14
92,project_info,original_work_days,Original Work Days,A calculated field based on the Project Start Date and the Original Project End Date and the choice of a 5 Day or 7 Day Work Week.,2022-01-06 00:45:25,2022-01-06 13:37:46
93,project_info,approved_revised_budget,Approved Revised Budget,This is a manual entry to track a comparison between the Original Budget and any changes made during the project.,2022-01-06 00:45:25,2022-01-06 13:40:36
94,project_info,activity_timeline,Activity Timeline,Traxidy records all the important changes and the date in the Activity Timeline for easy reference at any time.,2022-01-06 00:45:25,2022-01-06 13:42:50
95,aid,table:owner,Table > Owner,It is important that each Action have a single person who is responsible to the team to provide updates and complete the action item. Provide these Owners with CONTRIBUTOR Access so they can use Traxidy to update (only) their action items on their own time.,2022-01-06 00:45:25,2022-01-07 11:52:52
96,aid,table:progress,Table > Progress,The % amount of the Progress ON THE ACTION as reported by the Owner. Indicate from 0% to 100%. The record of the changes to the Progress is part of the historic updates/record.,2022-01-06 00:45:25,2022-01-08 07:19:46
97,aid,table:last_updated,Table > Last Updated,A system generated date indicating the last time anything about the item was changed.,2022-01-06 00:45:25,2022-01-07 11:57:18
98,aid,new_action:priority,New Action > Priority,This is the Priority of the ISSUE or work item and how important this is to be handled in the project.,2022-01-06 00:45:25,2022-03-23 05:41:18
99,aid,new_action:progress,New Action > Progress,The % amount of the Progress ON THE ACTION as reported by the Owner. Indicate from 0% to 100%. The record of the changes to the Progress is part of the historic updates/record.,2022-01-06 00:45:25,2022-01-08 07:19:24
100,aid,new_action:decision_made,New Action > Decision Made,"Indicate if a key Decision has been made as part of this Action. This is charted for you and is easily referred to at any time. If a decision has been made, be sure to update the Action Description record with the details of the Decision Made, and who made it and why.",2022-01-06 00:45:25,2022-01-08 07:24:37
101,aid,info:action_update,Info > Action Update,Enter the latest information regarding work to complete the Action. If a Decision has been made note the Who & What was Decided in this area.,2022-01-06 00:45:25,2022-01-12 10:20:33
102,aid,info:decision_made,Info > Decision Made,Set to Yes if you want to record a Decision made affecting the project. This will be recorded with the Action & on the Decisions Chart & can be found at any time.,2022-01-06 00:45:25,2022-01-12 10:23:20
103,aid,info:progress,Info > Progress,"Choose a percentage of the amount of work being done, that has already been completed.",2022-01-06 00:45:25,2022-08-04 08:14:07
104,gyr,list:key_project_constraints,List > Key Project Constraints,"The three main project constraints are shown with options for other areas that can be monitored and reported, in the Additional Areas of Focus",2022-01-06 00:45:25,2022-03-04 12:43:29
105,gyr,list:additional_key_constraints,List > Additional Key Constraints,"Choose key areas in this project that you would want to monitor, track and make visible to the key stakeholders. Simply add status GYR and comments and the history is captured with each change. Only those you set, will show in the Status Report.",2022-01-06 00:45:25,2022-01-14 09:37:58
106,gyr,list:weight,List > Weight,The percentage for each Key Constraint listed here is set in the Project Information Area and cannot be edited on this screen.,2022-01-06 00:45:25,2022-01-14 09:09:24
107,gyr,list:comments,List > Comments,Provide Status Comments to describe why the Constraint has been given a specific GYR color. Typically comments are needed if the Current Status color is Yellow or Red.,2022-01-06 00:45:25,2022-01-14 09:10:32
108,status,widget:milestones,Widget > Milestones,The Milestone is the brief description of a key part of the project and the single day in the project when it is to happen or finish or start. Track the status color of the milestone for the status report. This is not an extensive list. Typically use from 4 to 8 Milestones.,2022-01-06 00:45:25,2022-01-12 11:09:37
109,status,button:save_to_status_report_history,Button > Save To Status Report History,"With this button, Traxidy keeps track of all status reports for easy reference over time. See the Status Report History tab at the top of this screen.",2022-01-06 00:45:25,2022-01-12 11:13:42
110,status,tab:status_report_history,Tab > Status Report History,This tab shows all the saved status reports for easy reference over time. See the save to Status Report History button at the bottom of this screen.,2022-01-06 00:45:25,2022-01-12 11:15:13
111,changes,widget:work_days_approved,Widget > Work Days Approved,"Work Days Approved are a result of the Current End Date of the project and the Project Start Date considering the number of work days (5 or 7 in settings) for each week.
Any Approved Change to the Project End Date/Approved Revised End Date is made in the Project Information area.",2022-01-06 00:45:25,2022-01-12 11:26:43
112,changes,widget:time_duration_complete,Widget > Time Duration Complete,The Time Duration Complete is the percentage of time that has gone by since the Project Start Date compared to today's date and the Project End Date. The system calculation uses the number of Work Days per week (5 or 7) from Project Settings.,2022-01-06 00:45:25,2022-01-12 11:22:12
113,changes,widget:work_days_to_date,Widget > Work Days To Date,Work Days To Date indicates the number of work days since the Project Start Date to today.,2022-01-06 00:45:25,2022-01-12 11:23:12
114,changes,widget:work_days_remaining,Widget > Work Days Remaining,"Work Days Remaining indicates the number of work days remaining from today until the end of the project, as determined by the current Project End Date or Approved Revised End Date. Change dates in the Project Information Area.",2022-01-06 00:45:25,2022-01-12 11:26:06
115,changes,widget:approved_revised_end_date,Widget > Approved Revised End Date,It is important to ensure the Approved Revised End Date of the project reflects the number of days shown in the Approved Changes as shown on this page.,2022-01-06 00:45:25,2022-01-12 11:28:15
116,changes,new_change:dept_requesting_change,New Change > Dept Requesting Change,If there is a specific department that is driving the need for this change indicate it here. It may be important to track how often one area is responsible for the need for a change.,2022-01-06 00:45:25,2022-05-04 06:13:11
117,aid,info:insert_hyperlink,Info > Insert Hyperlink,Hyperlink for associated folder/file related to the action or issue.,2022-04-14 10:55:42,2022-04-14 10:55:42
118,dashboard,table:pm_estimate_of_work_complete,Table > EST. of Work Complete,This is input directly by the Project Manager estimating the current percentage of work complete to date.,2021-11-04 12:23:38,2024-01-17 04:38:14
119,dashboard,table:pm_estimate_of_work_complete,Table > EST. of Work Complete,Help text for EST. of Work Complete,2021-11-04 12:23:38,2022-07-07 08:06:51
