id,project_id,creator_id,description,gyr_status,plan_date,created_at,updated_at
24,64,56,Substantial Completion for all ECM's,green,2022-11-15,2022-03-14 10:38:57,2022-03-14 10:38:57
25,64,56,Final Completion for all ECM's,green,2022-12-29,2022-03-14 10:39:27,2022-03-14 10:39:27
26,64,56,Substantial Completion of Chiller Replacement ECM at Arts H.S.,yellow,2022-04-14,2022-03-14 10:39:53,2022-03-14 10:39:53
27,64,56,Substantial Completion of Boiler Replacement ECM at Technology H.S.,green,2022-09-30,2022-03-14 10:40:31,2022-03-14 10:41:24
28,64,56,Substantial Completion of UV Replacement ECM at Weequahic H.S,green,2022-08-12,2022-03-14 10:42:20,2022-03-14 10:42:52
29,64,56,Substantial Completion of UV Replacement ECM at George Washington Carver E.S,green,2022-08-12,2022-03-14 10:42:42,2022-03-14 10:42:42
30,64,56,Substantial Completion of UV Replacement ECM at Arts H.S,green,2022-08-12,2022-03-14 10:43:13,2022-03-14 10:43:13
31,64,56,Substantial Completion of UV Replacement ECM at Barringer H.S,green,2022-08-12,2022-03-14 10:43:32,2022-03-14 10:43:32
32,69,35,Epic 1 ends,complete,2022-02-25,2022-03-15 12:45:29,2022-03-21 05:31:12
33,69,35,Epic 2 Ends,yellow,2022-03-29,2022-03-15 12:45:53,2022-03-21 05:32:11
34,69,35,Sprint 3 Ends,green,2022-04-29,2022-03-15 12:46:42,2022-03-21 05:31:58
35,71,35,Sprint 1 end,green,2022-03-25,2022-03-21 04:54:02,2022-03-21 04:54:02
36,71,35,Sprint 2 end,green,2022-04-08,2022-03-21 04:54:19,2022-03-21 04:54:19
37,71,35,Sprint 3 end,green,2022-04-22,2022-03-21 04:54:40,2022-03-21 04:54:40
38,70,35,Sprint 1 end,complete,2022-02-04,2022-03-21 04:57:43,2022-03-21 04:57:43
39,70,35,Sprint 2 end,complete,2022-02-18,2022-03-21 04:58:09,2022-03-21 04:58:09
40,70,35,Sprint 3 end,yellow,2022-03-04,2022-03-21 04:58:33,2022-03-21 04:58:33
41,70,35,Retrospective,green,2022-03-18,2022-03-21 04:59:08,2022-03-21 04:59:08
42,69,35,Retrospective,green,2022-06-24,2022-03-21 05:32:40,2022-03-21 05:32:40
43,12,6,step 1,yellow,2022-05-31,2022-04-01 09:55:32,2022-04-01 09:55:32
44,1,2,Plan Complete,complete,2022-06-14,2022-08-30 08:16:23,2022-08-30 08:16:23
46,1,2,review of documents complete,yellow,2022-07-01,2022-08-30 08:17:39,2022-08-30 08:19:15
47,1,2,Training Complete,green,2022-10-12,2022-08-30 08:17:57,2022-08-30 08:17:57
48,1,2,Post Project Review Done,green,2022-11-01,2022-08-30 08:18:24,2022-08-30 08:18:24
49,1,2,Project Closed,green,2022-11-30,2022-08-30 08:18:42,2022-08-30 08:18:42
50,126,2,Design Finalized,complete,2022-11-16,2022-11-02 12:59:47,2022-11-02 13:03:48
51,126,2,Store Fixtures Installed,yellow,2023-07-14,2022-11-02 13:00:27,2023-07-04 06:45:43
53,126,2,Supplies Ready in Shop,green,2024-02-02,2022-11-02 13:01:36,2024-01-23 07:58:13
55,126,2,All staff hired and trained,green,2024-02-02,2022-11-02 13:02:49,2024-01-23 07:57:38
56,126,2,Open for Business,green,2023-09-22,2022-11-02 13:03:21,2023-07-04 06:43:55
57,133,22,Foundation done,green,2023-08-07,2023-02-13 09:45:48,2023-02-13 09:45:48
58,133,22,Floor done,green,2023-08-09,2023-02-13 09:46:16,2023-02-13 09:46:16
59,133,22,Walls up,green,2023-08-14,2023-02-13 09:46:35,2023-02-13 09:46:35
60,133,22,Roof complete,green,2023-08-18,2023-02-13 09:46:57,2023-02-13 09:46:57
61,133,22,Planning done,yellow,2023-03-03,2023-02-13 09:47:20,2023-02-13 09:47:20
62,133,22,Project Closed,green,2023-10-20,2023-02-13 09:47:58,2023-02-13 09:47:58
63,135,7,Info Gather Done,green,2023-02-19,2023-03-28 05:44:05,2023-03-28 05:44:05
64,135,7,Ready for Submission,green,2023-02-20,2023-03-28 05:44:05,2023-03-28 05:44:05
65,135,7,Project Closed,green,2023-03-03,2023-03-28 05:44:05,2023-03-28 05:44:05
66,135,2,Info Gather Done,green,2023-02-19,2023-03-28 06:09:15,2023-03-28 06:09:15
67,135,2,Ready for Submission,green,2023-02-20,2023-03-28 06:09:15,2023-03-28 06:09:15
68,135,2,Project Closed,green,2023-03-03,2023-03-28 06:09:15,2023-03-28 06:09:15
69,135,2,Info Gather Done,green,2023-02-19,2023-03-28 06:13:53,2023-03-28 06:13:53
70,135,2,Ready for Submission,green,2023-02-20,2023-03-28 06:13:53,2023-03-28 06:13:53
71,135,2,Project Closed,green,2023-03-03,2023-03-28 06:13:53,2023-03-28 06:13:53
72,135,2,Info Gather Done,green,2023-02-19,2023-03-28 06:14:11,2023-03-28 06:14:11
73,135,2,Ready for Submission,green,2023-02-20,2023-03-28 06:14:11,2023-03-28 06:14:11
74,135,2,Project Closed,green,2023-03-03,2023-03-28 06:14:11,2023-03-28 06:14:11
75,135,2,Info Gather Done,green,2023-02-19,2023-03-28 06:18:13,2023-03-28 06:18:13
76,135,2,Ready for Submission,green,2023-02-20,2023-03-28 06:18:13,2023-03-28 06:18:13
77,135,2,Project Closed,green,2023-03-03,2023-03-28 06:18:13,2023-03-28 06:18:13
78,137,2,Info Gather Done,green,2023-02-19,2023-03-28 06:27:49,2023-03-28 06:27:49
79,137,2,Ready for Submission,green,2023-02-20,2023-03-28 06:27:49,2023-03-28 06:27:49
80,137,2,Project Closed,green,2023-03-03,2023-03-28 06:27:49,2023-03-28 06:27:49
81,138,2,done one,green,2023-02-16,2023-03-28 08:34:07,2023-03-28 08:34:07
82,138,2,done it again,green,2023-02-16,2023-03-28 08:34:07,2023-03-28 08:34:07
83,138,2,complete,green,2023-02-04,2023-03-28 08:34:07,2023-03-28 08:34:07
84,139,2,done one,green,2023-02-16,2023-03-28 09:02:54,2023-03-28 09:02:54
85,139,2,complete,green,2023-02-04,2023-03-28 09:02:54,2023-03-28 09:02:54
87,141,2,Charter Complete,green,2023-07-10,2023-03-31 10:13:14,2023-03-31 10:13:14
88,141,2,Planning Complete,green,1970-01-01,2023-03-31 10:13:14,2023-03-31 10:13:14
89,141,2,Completed Delivery,green,1970-01-01,2023-03-31 10:13:14,2023-03-31 10:13:14
90,141,2,project complete,green,2023-08-18,2023-03-31 10:13:14,2023-03-31 10:13:14
98,150,2,Charter Complete,green,2023-07-10,2023-04-10 07:33:22,2023-04-10 07:33:22
99,150,2,Planning Complete,green,1970-01-01,2023-04-10 07:33:22,2023-04-10 07:33:22
100,150,2,Completed Delivery,green,1970-01-01,2023-04-10 07:33:23,2023-04-10 07:33:23
101,150,2,project complete,green,2023-08-18,2023-04-10 07:33:23,2023-04-10 07:33:23
106,161,2,Planning Complete,green,2023-03-01,2023-04-17 08:19:48,2023-04-17 08:19:48
107,161,2,Completed Delivery,green,2023-07-07,2023-04-17 08:19:48,2023-04-17 08:19:48
108,162,2,Planning Complete,green,2023-03-01,2023-04-17 08:27:11,2023-04-17 08:27:11
109,162,2,Completed Delivery,green,2023-07-07,2023-04-17 08:27:11,2023-04-17 08:27:11
113,166,2,Planning Complete,green,2023-03-01,2023-04-17 09:14:11,2023-04-17 09:14:11
114,166,2,Completed Delivery,green,2023-07-07,2023-04-17 09:14:11,2023-04-17 09:14:11
115,167,2,Planning Complete,green,2023-03-01,2023-04-17 09:27:18,2023-04-17 09:27:18
116,167,2,Completed Delivery,green,2023-07-07,2023-04-17 09:27:18,2023-04-17 09:27:18
119,170,2,Planning Complete,green,2023-03-01,2023-04-17 09:54:15,2023-04-17 09:54:15
120,170,2,Completed Delivery,green,2023-07-07,2023-04-17 09:54:15,2023-04-17 09:54:15
121,170,2,completed Charter,green,2023-06-22,2023-04-20 11:34:55,2023-04-20 11:34:55
122,170,2,Planning Complete,green,2023-03-01,2023-04-20 11:34:55,2023-04-20 11:34:55
123,170,2,Completed Delivery,green,2023-07-07,2023-04-20 11:34:55,2023-04-20 11:34:55
124,170,2,Complete: Control and Project Management,green,2023-08-28,2023-04-20 11:34:55,2023-04-20 11:34:55
125,170,2,Client Survey Complete,green,2023-09-06,2023-04-20 11:34:55,2023-04-20 11:34:55
126,172,2,Planning Complete,green,2023-03-01,2023-04-20 11:50:41,2023-04-20 11:50:41
127,172,2,Completed Delivery,green,2023-07-07,2023-04-20 11:50:41,2023-04-20 11:50:41
128,172,2,manage risks,green,2023-08-10,2023-04-20 11:50:41,2023-04-20 11:50:41
129,172,2,manage isssues,green,2023-08-12,2023-04-20 11:50:41,2023-04-20 11:50:41
130,172,2,manage changes,green,2023-08-27,2023-04-20 11:50:41,2023-04-20 11:50:41
131,173,2,Planning Complete,green,2023-03-01,2023-04-20 12:19:00,2023-04-20 12:19:00
132,173,2,Completed Delivery,green,2023-07-07,2023-04-20 12:19:00,2023-04-20 12:19:00
133,173,2,manage risks,green,2023-08-10,2023-04-20 12:19:00,2023-04-20 12:19:00
134,173,2,manage issues,green,2023-08-14,2023-04-20 12:19:00,2023-04-20 12:19:00
135,173,2,manage changes,green,2023-08-17,2023-04-20 12:19:00,2023-04-20 12:19:00
136,174,2,develop resource requirements and this had a bad date,green,2023-06-17,2023-04-20 12:24:52,2023-04-20 12:24:52
137,174,2,Planning Complete,green,2023-03-01,2023-04-20 12:24:52,2023-04-20 12:24:52
138,174,2,Completed Delivery,green,2023-07-07,2023-04-20 12:24:52,2023-04-20 12:24:52
139,174,2,manage risks,green,2023-08-10,2023-04-20 12:24:52,2023-04-20 12:24:52
140,174,2,manage issues,green,2023-08-14,2023-04-20 12:24:52,2023-04-20 12:24:52
141,174,2,manage changes,green,2023-08-17,2023-04-20 12:24:52,2023-04-20 12:24:52
142,174,2,COMPLETE schedule and plan,green,2023-01-06,2023-04-20 12:24:52,2023-04-20 12:24:52
143,174,2,Planning Complete,green,2023-03-01,2023-04-20 12:24:52,2023-04-20 12:24:52
144,174,2,Completed Delivery,green,2023-07-07,2023-04-20 12:24:52,2023-04-20 12:24:52
145,174,2,manage risks,green,2023-08-10,2023-04-20 12:24:52,2023-04-20 12:24:52
146,174,2,manage issues,green,2023-08-14,2023-04-20 12:24:52,2023-04-20 12:24:52
147,174,2,manage changes,green,2023-08-17,2023-04-20 12:24:52,2023-04-20 12:24:52
150,176,2,develop resource requirements and this had a bad date,green,2023-06-11,2023-04-20 13:03:06,2023-04-20 13:03:06
151,176,2,Planning Complete,green,2023-03-01,2023-04-20 13:03:07,2023-04-20 13:03:07
152,176,2,Completed Delivery,green,2023-07-07,2023-04-20 13:03:07,2023-04-20 13:03:07
153,176,2,manage risks,green,2023-08-10,2023-04-20 13:03:07,2023-04-20 13:03:07
154,176,2,manage issues with bad date only start,green,2023-08-14,2023-04-20 13:03:07,2023-04-20 13:03:07
155,176,2,manage changes,green,2023-08-15,2023-04-20 13:03:07,2023-04-20 13:03:07
156,176,2,COMPLETE schedule and plan,green,2023-01-06,2023-04-20 13:03:07,2023-04-20 13:03:07
157,176,2,Planning Complete,green,2023-03-01,2023-04-20 13:03:07,2023-04-20 13:03:07
158,176,2,Completed Delivery,green,2023-07-07,2023-04-20 13:03:07,2023-04-20 13:03:07
159,176,2,manage risks,green,2023-08-10,2023-04-20 13:03:07,2023-04-20 13:03:07
160,176,2,manage issues,green,2023-08-14,2023-04-20 13:03:07,2023-04-20 13:03:07
161,176,2,manage changes,green,2023-08-17,2023-04-20 13:03:07,2023-04-20 13:03:07
162,177,2,develop resource requirements and this had a bad date,green,2023-06-11,2023-04-20 13:05:28,2023-04-20 13:05:28
163,177,2,Planning Complete,green,2023-03-01,2023-04-20 13:05:28,2023-04-20 13:05:28
164,177,2,Completed Delivery,green,2023-07-07,2023-04-20 13:05:28,2023-04-20 13:05:28
165,177,2,manage risks,green,2023-08-10,2023-04-20 13:05:28,2023-04-20 13:05:28
166,177,2,manage issues with bad date only start,green,2023-08-14,2023-04-20 13:05:28,2023-04-20 13:05:28
167,177,2,manage changes,green,2023-08-15,2023-04-20 13:05:28,2023-04-20 13:05:28
168,177,2,COMPLETE schedule and plan,green,2023-01-06,2023-04-20 13:05:28,2023-04-20 13:05:28
169,177,2,Planning Complete,green,2023-03-01,2023-04-20 13:05:28,2023-04-20 13:05:28
176,179,2,develop resource requirements and this had a bad date,green,2023-06-11,2023-04-20 13:50:28,2023-04-20 13:50:28
177,179,2,Planning Complete,green,2023-03-01,2023-04-20 13:50:28,2023-04-20 13:50:28
178,179,2,Completed Delivery,green,2023-07-07,2023-04-20 13:50:28,2023-04-20 13:50:28
179,179,2,manage risks,green,2023-08-10,2023-04-20 13:50:28,2023-04-20 13:50:28
180,179,2,manage issues with bad date only start,green,2023-08-12,2023-04-20 13:50:28,2023-04-20 13:50:28
181,179,2,manage changes,green,2023-08-15,2023-04-20 13:50:28,2023-04-20 13:50:28
182,179,2,COMPLETE schedule and plan,green,2023-01-06,2023-04-20 13:50:29,2023-04-20 13:50:29
183,179,2,Planning Complete,green,2023-03-01,2023-04-20 13:50:29,2023-04-20 13:50:29
190,182,2,develop resource requirements and this had a bad date,green,2023-06-16,2023-04-25 08:03:52,2023-04-25 08:03:52
191,182,2,Planning Complete,green,2023-03-01,2023-04-25 08:03:52,2023-04-25 08:03:52
196,185,2,develop resource requirements and this had a bad date,green,2023-06-16,2023-04-25 08:16:18,2023-04-25 08:16:18
197,186,2,develop resource requirements ,green,2023-06-16,2023-04-25 08:21:29,2023-04-25 08:21:29
198,186,2,develop resource requirements and this had a bad date,green,2023-07-27,2023-04-25 08:21:29,2023-04-25 08:21:29
199,186,2,develop resource requirements and this had a bad date,green,2023-09-01,2023-04-25 08:21:29,2023-04-25 08:21:29
200,187,2,develop resource requirements ,green,2023-06-16,2023-04-25 08:28:22,2023-04-25 08:28:22
201,187,2,develop bad date,green,2023-07-27,2023-04-25 08:28:22,2023-04-25 08:28:22
202,187,2,develop resource ,green,2023-09-01,2023-04-25 08:28:22,2023-04-25 08:28:22
203,187,2,Done Execution,green,2023-04-25,2023-04-25 08:28:22,2023-04-25 08:28:22
204,187,2,survey complete,green,2023-06-02,2023-04-25 08:28:22,2023-04-25 08:28:22
205,188,2,develop resource requirements ,green,2023-06-16,2023-04-25 08:34:18,2023-04-25 08:34:18
206,188,2,develop bad date,green,2023-07-27,2023-04-25 08:34:18,2023-04-25 08:34:18
207,188,2,develop resource ,green,2023-09-01,2023-04-25 08:34:18,2023-04-25 08:34:18
208,188,2,Done Execution,green,2023-04-25,2023-04-25 08:34:18,2023-04-25 08:34:18
209,188,2,survey complete,green,2023-06-02,2023-04-25 08:34:18,2023-04-25 08:34:18
210,189,2,develop resource requirements ,green,2023-06-16,2023-04-25 08:46:56,2023-04-25 08:46:56
211,189,2,develop bad date,green,2023-07-27,2023-04-25 08:46:56,2023-04-25 08:46:56
212,189,2,develop resource ,green,2023-09-01,2023-04-25 08:46:56,2023-04-25 08:46:56
213,189,2,Done Execution,green,2023-04-25,2023-04-25 08:46:56,2023-04-25 08:46:56
214,189,2,survey complete,green,2023-06-02,2023-04-25 08:46:56,2023-04-25 08:46:56
215,189,2,develop resource ,green,2023-09-01,2023-04-25 08:46:56,2023-04-25 08:46:56
216,189,2,Done Execution,green,2023-04-25,2023-04-25 08:46:56,2023-04-25 08:46:56
217,189,2,survey complete,green,2023-06-02,2023-04-25 08:46:56,2023-04-25 08:46:56
218,189,2,develop resource ,green,2023-09-01,2023-04-25 08:46:56,2023-04-25 08:46:56
219,189,2,Done Execution,green,2023-04-25,2023-04-25 08:46:56,2023-04-25 08:46:56
220,189,2,survey complete,green,2023-06-02,2023-04-25 08:46:56,2023-04-25 08:46:56
221,189,2,develop resource ,green,2023-09-01,2023-04-25 08:46:56,2023-04-25 08:46:56
222,189,2,Done Front,green,2023-04-25,2023-04-25 08:46:56,2023-04-25 08:46:56
223,189,2,complete closure,green,2023-06-02,2023-04-25 08:46:56,2023-04-25 08:46:56
224,189,2,meetings all done,green,2023-09-01,2023-04-25 08:46:56,2023-04-25 08:46:56
225,189,2,Done Execution,green,2023-06-21,2023-04-25 08:46:56,2023-04-25 08:46:56
226,189,2,survey complete,green,2023-07-05,2023-04-25 08:46:56,2023-04-25 08:46:56
227,189,2,develop resource requirements ,green,2023-06-16,2023-04-27 12:50:11,2023-04-27 12:50:11
228,189,2,develop bad date,green,2023-07-27,2023-04-27 12:50:12,2023-04-27 12:50:12
229,189,2,develop resource ,green,2023-09-01,2023-04-27 12:50:12,2023-04-27 12:50:12
230,189,2,Done Execution,green,2023-04-25,2023-04-27 12:50:12,2023-04-27 12:50:12
231,189,2,survey complete,green,2023-06-02,2023-04-27 12:50:13,2023-04-27 12:50:13
232,189,2,develop resource ,green,2023-09-01,2023-04-27 12:50:13,2023-04-27 12:50:13
233,189,2,Done Execution,green,2023-04-25,2023-04-27 12:50:13,2023-04-27 12:50:13
234,189,2,survey complete,green,2023-06-02,2023-04-27 12:50:13,2023-04-27 12:50:13
235,189,2,develop resource ,green,2023-09-01,2023-04-27 12:50:13,2023-04-27 12:50:13
236,189,2,Done Execution,green,2023-04-25,2023-04-27 12:50:13,2023-04-27 12:50:13
237,189,2,survey complete,green,2023-06-02,2023-04-27 12:50:13,2023-04-27 12:50:13
238,189,2,develop resource ,green,2023-09-01,2023-04-27 12:50:13,2023-04-27 12:50:13
239,189,2,Done Front,green,2023-04-25,2023-04-27 12:50:13,2023-04-27 12:50:13
240,189,2,complete closure,green,2023-06-02,2023-04-27 12:50:13,2023-04-27 12:50:13
241,189,2,meetings all done,green,2023-09-01,2023-04-27 12:50:13,2023-04-27 12:50:13
242,189,2,Done Execution,green,2023-06-21,2023-04-27 12:50:14,2023-04-27 12:50:14
243,189,2,survey complete,green,2023-07-05,2023-04-27 12:50:14,2023-04-27 12:50:14
244,186,2,develop resource requirements ,green,2023-06-16,2023-04-28 06:28:37,2023-04-28 06:28:37
245,186,2,develop resource requirements and this had a bad date,green,2023-07-27,2023-04-28 06:28:37,2023-04-28 06:28:37
246,186,2,develop resource requirements and this had a bad date,green,2023-09-01,2023-04-28 06:28:37,2023-04-28 06:28:37
247,190,2,develop resource requirements ,green,2023-06-16,2023-04-28 06:34:10,2023-04-28 06:34:10
248,191,2,develop resource requirements ,green,2023-06-16,2023-05-25 13:07:38,2023-05-25 13:07:38
249,192,2,develop resource requirements ,green,2023-05-27,2023-05-25 13:29:28,2023-05-25 13:29:28
250,192,2,develop timeline for main pages,green,2023-06-01,2023-05-25 13:29:28,2023-05-25 13:29:28
251,192,2,planning complete,green,2023-06-10,2023-05-25 13:29:28,2023-05-25 13:29:28
252,193,2,develop resource requirements ,green,2023-05-27,2023-05-25 13:52:42,2023-05-25 13:52:42
253,193,2,develop timeline for main pages,green,2023-06-01,2023-05-25 13:52:42,2023-05-25 13:52:42
254,193,2,planning complete,green,2023-06-10,2023-05-25 13:52:43,2023-05-25 13:52:43
255,193,41,develop resource requirements ,green,2023-05-27,2023-06-12 12:14:37,2023-06-12 12:14:37
256,193,41,develop timeline for main pages,green,2023-06-01,2023-06-12 12:14:37,2023-06-12 12:14:37
257,193,41,planning complete,green,2023-06-10,2023-06-12 12:14:37,2023-06-12 12:14:37
258,193,41,develop resource requirements ,green,2023-05-27,2023-06-12 12:15:01,2023-06-12 12:15:01
259,193,41,develop timeline for main pages,green,2023-06-01,2023-06-12 12:15:01,2023-06-12 12:15:01
260,193,41,planning complete,green,2023-06-10,2023-06-12 12:15:01,2023-06-12 12:15:01
261,193,41,develop resource requirements ,green,2023-05-27,2023-06-12 12:15:45,2023-06-12 12:15:45
262,193,41,develop timeline for main pages,green,2023-06-01,2023-06-12 12:15:45,2023-06-12 12:15:45
263,193,41,planning complete,green,2023-06-10,2023-06-12 12:15:45,2023-06-12 12:15:45
264,192,2,develop resource requirements ,green,2023-05-27,2023-06-12 12:21:10,2023-06-12 12:21:10
265,192,2,develop timeline for main pages,green,2023-06-01,2023-06-12 12:21:10,2023-06-12 12:21:10
266,192,2,planning complete,green,2023-06-10,2023-06-12 12:21:10,2023-06-12 12:21:10
267,195,41,develop resource requirements ,green,2023-06-16,2023-06-12 12:23:15,2023-06-12 12:23:15
268,196,41,develop resource requirements ,green,2023-06-16,2023-06-12 12:32:19,2023-06-12 12:32:19
269,196,41,Planning Complete,green,2023-06-17,2023-06-12 12:32:19,2023-06-12 12:32:19
270,196,41,Completed Delivery,green,2023-07-08,2023-06-12 12:32:19,2023-06-12 12:32:19
271,196,41,develop resource requirements ,green,2023-06-16,2023-06-12 12:36:27,2023-06-12 12:36:27
272,196,41,Planning Complete,green,2023-06-17,2023-06-12 12:36:27,2023-06-12 12:36:27
273,196,41,Completed Delivery,green,2023-07-08,2023-06-12 12:36:28,2023-06-12 12:36:28
274,194,41,develop resource requirements ,green,2023-06-16,2023-06-12 12:39:57,2023-06-12 12:39:57
275,194,41,Planning Complete,green,2023-06-17,2023-06-12 12:39:57,2023-06-12 12:39:57
276,194,41,Completed Delivery,green,2023-07-08,2023-06-12 12:39:57,2023-06-12 12:39:57
277,197,41,develop resource requirements ,green,2023-06-16,2023-06-12 13:10:13,2023-06-12 13:10:13
278,197,41,Planning Complete,green,2023-06-17,2023-06-12 13:10:13,2023-06-12 13:10:13
279,197,41,Completed Delivery,green,2023-07-08,2023-06-12 13:10:13,2023-06-12 13:10:13
280,198,2,Business Case & Recommendation,green,2023-03-15,2023-06-16 11:06:28,2023-06-16 11:06:28
281,198,2,Capital request approval - UCC,green,2023-04-10,2023-06-16 11:06:28,2023-06-16 11:06:28
282,198,2,"Vendor Kick off meeting - Review milestones & dates, risks, contraints",green,2023-06-19,2023-06-16 11:06:28,2023-06-16 11:06:28
283,198,2,UCC- complete SED configuration document,green,2023-06-19,2023-06-16 11:06:28,2023-06-16 11:06:28
284,198,2,ED -Build system,green,2023-06-19,2023-06-16 11:06:28,2023-06-16 11:06:28
285,198,2,UCC -Build system,green,2023-06-29,2023-06-16 11:06:28,2023-06-16 11:06:28
286,198,2,ED-Floor plan,green,2023-06-29,2023-06-16 11:06:28,2023-06-16 11:06:28
287,198,2,ED-hardware delivered & Asset tagged,green,2023-06-13,2023-06-16 11:06:28,2023-06-16 11:06:28
288,198,2,UCC-Hardware delivered & Asset tagged,green,2023-06-13,2023-06-16 11:06:28,2023-06-16 11:06:28
289,198,2,Vendor installation,green,2023-07-28,2023-06-16 11:06:28,2023-06-16 11:06:28
290,198,2,integration - Reporting (API),green,2023-08-08,2023-06-16 11:06:29,2023-06-16 11:06:29
291,198,2,Vendor provide training (reports) live + 4 weeks (Incl Clinical + SA/DS support team member),green,2023-06-19,2023-06-16 11:06:29,2023-06-16 11:06:29
292,199,55,Completed I & R,green,2023-06-13,2023-06-26 12:41:40,2023-06-26 12:41:40
293,199,55,Plan Ready to Execute,green,2023-07-03,2023-06-26 12:41:40,2023-06-26 12:41:40
294,199,55,Build Done,green,2023-10-02,2023-06-26 12:41:40,2023-06-26 12:41:40
295,199,55,Testing Complete,green,2023-11-30,2023-06-26 12:41:40,2023-06-26 12:41:40
296,199,55,Completed Docs,green,2023-12-05,2023-06-26 12:41:40,2023-06-26 12:41:40
297,199,55,Project Closed,green,2023-12-12,2023-06-26 12:41:40,2023-06-26 12:41:40
298,200,2,Network Architecture Design Complete,green,1970-01-01,2023-08-24 10:14:54,2023-08-24 10:14:54
299,200,2,VPC Setup and Configuration Complete,green,1970-01-01,2023-08-24 10:14:54,2023-08-24 10:14:54
300,200,2,Subnet Creation and Configuration Complete,green,1970-01-01,2023-08-24 10:14:54,2023-08-24 10:14:54
301,200,2,Cognito Configuration Complete,green,1970-01-01,2023-08-24 10:14:54,2023-08-24 10:14:54
302,200,2,File Storage Setup Complete,green,1970-01-01,2023-08-24 10:14:54,2023-08-24 10:14:54
303,200,2,Data Synchronization Layer Implementation Complete,green,1970-01-01,2023-08-24 10:14:54,2023-08-24 10:14:54
304,201,2,Discuss the Roles for Each users ,green,2023-08-25,2023-08-24 13:36:25,2023-08-24 13:36:25
305,201,2,Creation of User using Least Privilege Principal Complete,green,2023-07-02,2023-08-24 13:36:25,2023-08-24 13:36:25
306,201,2,Determining Appropriate Region for our infrastructure ,green,2023-07-29,2023-08-24 13:36:25,2023-08-24 13:36:25
307,201,2,Create a HL Diagram,green,2023-08-04,2023-08-24 13:36:25,2023-08-24 13:36:25
308,201,2,Network Architecture Design Complete,green,2023-08-23,2023-08-24 13:36:25,2023-08-24 13:36:25
309,203,2,Planning & Review Complete,green,2023-08-28,2023-08-30 11:08:12,2023-08-30 11:08:12
310,203,2,Questions to client Submitted,green,2023-09-11,2023-08-30 11:08:12,2023-08-30 11:08:12
311,203,2,Creation and Review Complete,green,2023-09-27,2023-08-30 11:08:12,2023-08-30 11:08:12
312,203,2,RFP Submitted Successfully,green,2023-09-29,2023-08-30 11:08:12,2023-08-30 11:08:12
313,203,2,Project Closed,green,2023-10-04,2023-08-30 11:08:12,2023-08-30 11:08:12
322,203,2,Planning & Review Complete,green,2023-08-28,2023-08-31 08:09:40,2023-08-31 08:09:40
323,203,2,Questions to client Submitted,green,2023-09-11,2023-08-31 08:09:40,2023-08-31 08:09:40
324,203,2,Creation and Review Complete,green,2023-09-27,2023-08-31 08:09:40,2023-08-31 08:09:40
325,203,2,RFP Submitted Successfully,green,2023-09-29,2023-08-31 08:09:40,2023-08-31 08:09:40
326,203,2,Project Closed,green,2023-10-04,2023-08-31 08:09:40,2023-08-31 08:09:40
